fill	x	y	key	group	clickSelects	showSelected1	PANEL
#53B400	1975.1649657732	1989.5029359794	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.165436554	1989.49417275534	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.15903372487	1989.49886412884	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.1504997719	1989.51758611216	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.14196476809	1989.5316311295	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.14406331557	1989.54676794796	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.14623542255	1989.55191690399	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.15477042636	1989.53787188666	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.16321820962	1989.51153726304	1	1	Aruba	Amérique latine et Caraïbes	2
#53B400	1975.1649657732	1989.5029359794	1	1	Aruba	Amérique latine et Caraïbes	2
#A58AFF	1995.10796791569	1996.99003902028	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.10093247485	1996.98804847866	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.09089790807	1996.99533637367	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.08698349176	1997.00635639014	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.08528952154	1997.00789050184	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.07733984119	1997.00063257445	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.06219499078	1996.99154431696	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.03646282649	1996.96770276893	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.0370134719	1996.96155018573	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.05378819067	1996.93733980544	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.05771416632	1996.9293142459	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.0597727815	1996.92674855647	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.04457433775	1996.91512227196	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1995.01202215686	1996.88889138242	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.99055539278	1996.86739537707	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.98545666851	1996.8665989299	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.97250389124	1996.87561342094	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.95340364138	1996.88635335541	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.94826498481	1996.88614588726	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.90409250447	1996.88430287855	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.86355176178	1996.88033447391	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.8466026019	1996.87521462105	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.81526310194	1996.87019850227	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.79551763017	1996.8685606565	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.7829137351	1996.86022504734	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.76911292187	1996.84929262853	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.75476146323	1996.84221220168	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.74413421704	1996.83989547402	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.73131594857	1996.82967190472	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.7228954874	1996.80938497762	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.69880475083	1996.77930324873	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.68524668395	1996.76477125755	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.67841405716	1996.74838012124	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.67066614001	1996.74678722691	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.65745695533	1996.74978168384	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.64718069304	1996.73201895255	2	2	Afghanistan	Asie du Sud	2
